market,date,trade_price,acc_trade_volume_24h,acc_trade_price_24h,opening_price,high_price,low_price
KRW-ETH,2022-10-01,1896500.0,16267.92768355,31001648371.883755,1909000.0,1920000.0,1884500.0
KRW-BTC,2022-10-01,27868000.0,2546.82511672,70954974472.5078,27924000.0,28008000.0,27696000.0
KRW-ETH,2022-10-02,1858500.0,20412.14703543,38355965591.14375,1896500.0,1901500.0,1850000.0
KRW-BTC,2022-10-02,27691000.0,3079.76956148,85545876530.29362,27868000.0,27960000.0,27512000.0
KRW-ETH,2022-10-03,1906000.0,26808.03074008,50628004135.77595,1858500.0,1917500.0,1842500.0
KRW-BTC,2022-10-03,28299000.0,3956.10964039,110671195709.21011,27672000.0,28375000.0,27591000.0
KRW-ETH,2022-10-04,1940000.0,33773.94138755,65183089834.69298,1904500.0,1950000.0,1901500.0
KRW-BTC,2022-10-04,28980000.0,5533.81706516,158534948897.20932,28280000.0,29094000.0,28145000.0
KRW-ETH,2022-10-05,1926000.0,32019.5797596,61447977779.23106,1941000.0,1944500.0,1890000.0
KRW-BTC,2022-10-05,28721000.0,5152.71568006,147816772453.40317,28952000.0,29017000.0,28322000.0
KRW-BTC,2022-10-06,28418000.0,4801.18768165,137349502267.4623,28720000.0,28930000.0,28290000.0
KRW-ETH,2022-10-06,1924500.0,34152.03550581,66136307307.3257,1926000.0,1956500.0,1916000.0
KRW-BTC,2022-10-07,27805000.0,5416.37859178,152011960410.50436,28418000.0,28517000.0,27663000.0
KRW-ETH,2022-10-07,1895500.0,30949.93175791,59124049103.02814,1922500.0,1937500.0,1881500.0
KRW-BTC,2022-10-08,27743000.0,2106.94531415,58568308272.54694,27810000.0,27933000.0,27602000.0
KRW-ETH,2022-10-08,1880000.0,13556.55780948,25643420411.008293,1895000.0,1904000.0,1870000.0
KRW-ETH,2022-10-09,1886000.0,10945.68468209,20594551912.59772,1879000.0,1895500.0,1870500.0
KRW-BTC,2022-10-09,27679000.0,1640.58178291,45515986562.08575,27743000.0,27885000.0,27622000.0
KRW-BTC,2022-10-10,27401000.0,4196.41533705,115900538932.09181,27679000.0,27833000.0,27359000.0
KRW-ETH,2022-10-10,1849500.0,21362.50137419,40056446161.550476,1884000.0,1905000.0,1848000.0
KRW-ETH,2022-10-11,1837000.0,25606.38459016,47091373556.99697,1848000.0,1860000.0,1821500.0
KRW-BTC,2022-10-11,27339000.0,3732.94000305,102219516094.35872,27397000.0,27678000.0,27131000.0
KRW-BTC,2022-10-12,27460000.0,2101.42661527,57574795545.87141,27339000.0,27523000.0,27255000.0
KRW-ETH,2022-10-12,1855500.0,16729.52029344,31030672176.82745,1836500.0,1871500.0,1832500.0
KRW-ETH,2022-10-13,1848000.0,62168.07247711,111894571191.97801,1854000.0,1871500.0,1730500.0
KRW-BTC,2022-10-13,27810000.0,8203.95839502,222277657967.64612,27460000.0,28063000.0,26400000.0
KRW-ETH,2022-10-14,1869000.0,37584.03472847,71104629683.35362,1848000.0,1922000.0,1841500.0
KRW-BTC,2022-10-14,27660000.0,5280.08123901,148190762947.29398,27808000.0,28539000.0,27500000.0
KRW-BTC,2022-10-15,27524000.0,1863.65198088,51459862485.05421,27656000.0,27722000.0,27410000.0
KRW-ETH,2022-10-15,1841000.0,12730.5289991,23612641998.826157,1868500.0,1874500.0,1828000.0
KRW-ETH,2022-10-16,1875000.0,11775.96745396,21935397949.164536,1841000.0,1891500.0,1841000.0
KRW-BTC,2022-10-16,27655000.0,1613.23153145,44583425422.02929,27548000.0,27900000.0,27502000.0
KRW-BTC,2022-10-17,27993000.0,3325.59179617,92642089152.88167,27655000.0,28200000.0,27526000.0
KRW-ETH,2022-10-17,1904500.0,22658.67867432,42874186471.05257,1875000.0,1916000.0,1861000.0
KRW-BTC,2022-10-18,27812000.0,3645.54686846,101833511876.60257,27993000.0,28180000.0,27530000.0
KRW-ETH,2022-10-18,1884500.0,26722.47034139,50665057052.74121,1904500.0,1920000.0,1856500.0
KRW-ETH,2022-10-19,1856500.0,19567.43082187,36581868180.26014,1884500.0,1888000.0,1851000.0
KRW-BTC,2022-10-19,27657000.0,3160.61602939,87417949567.93259,27824000.0,27825000.0,27536000.0
KRW-BTC,2022-10-20,27505000.0,2683.2479925,73944127659.67822,27639000.0,27800000.0,27400000.0
KRW-ETH,2022-10-20,1852500.0,19019.0417125,35336553915.80535,1857000.0,1883000.0,1840000.0
KRW-BTC,2022-10-21,27580000.0,2767.62248007,76016880613.55505,27505000.0,27700000.0,27130000.0
KRW-ETH,2022-10-21,1873000.0,21268.10721478,39430633706.78191,1850500.0,1880000.0,1820500.0
KRW-BTC,2022-10-22,27620000.0,2036.10495024,56235951760.10317,27600000.0,27700000.0,27547000.0
KRW-ETH,2022-10-22,1887000.0,12044.13378539,22652229338.411144,1872000.0,1896500.0,1865000.0
KRW-ETH,2022-10-23,1951500.0,22786.8753008,43608832860.99844,1888500.0,1959500.0,1875000.0
KRW-BTC,2022-10-23,27981000.0,2722.16975796,75515642883.3644,27620000.0,28152000.0,27484000.0
KRW-ETH,2022-10-24,1931500.0,24414.14305213,47282660925.4281,1950000.0,1963000.0,1910000.0
KRW-BTC,2022-10-24,27803000.0,3125.3489913,87079836345.68925,27981000.0,28077000.0,27663000.0
KRW-ETH,2022-10-25,2072000.0,63350.10661563,128726082300.11053,1932000.0,2150000.0,1918000.0
KRW-BTC,2022-10-25,28494000.0,4893.20312894,137804124211.57245,27803000.0,28844000.0,27621000.0
KRW-BTC,2022-10-26,29079000.0,5979.87612062,173488898127.12695,28494000.0,29447000.0,28470000.0
KRW-ETH,2022-10-26,2193000.0,79074.25710068,170828301446.35675,2072000.0,2234000.0,2067000.0
KRW-BTC,2022-10-27,28590000.0,5172.49423341,149863792429.01614,29116000.0,29238000.0,28530000.0
KRW-ETH,2022-10-27,2133000.0,53601.07121186,116519030368.9388,2194000.0,2208000.0,2120000.0
KRW-ETH,2022-10-28,2186000.0,45917.62433924,98782566656.883,2133000.0,2211000.0,2103000.0
KRW-BTC,2022-10-28,28958000.0,3424.86186466,98435976522.9078,28590000.0,29183000.0,28350000.0
KRW-ETH,2022-10-29,2265000.0,59175.04040145,133982969058.3425,2184000.0,2310000.0,2177000.0
KRW-BTC,2022-10-29,29091000.0,6211.37653974,181410545343.46017,28932000.0,29497000.0,28910000.0
KRW-ETH,2022-10-30,2231000.0,29756.86074612,67100385313.8704,2263000.0,2300000.0,2218000.0
KRW-BTC,2022-10-30,28957000.0,3137.06875888,91332005443.68755,29091000.0,29350000.0,28902000.0
KRW-ETH,2022-10-31,2208000.0,38155.11993488,85097269275.84097,2234000.0,2291000.0,2184000.0
KRW-BTC,2022-10-31,28778000.0,3780.01775723,109126492407.11536,28957000.0,29217000.0,28580000.0
KRW-ETH,2022-11-01,2218000.0,26295.8236365,58476358599.08694,2207000.0,2250000.0,2200000.0
KRW-BTC,2022-11-01,28749000.0,2933.71664252,84430214876.02364,28778000.0,28928000.0,28634000.0
KRW-BTC,2022-11-02,28632000.0,7547.86136867,217669276832.28488,28753000.0,29299000.0,28500000.0
KRW-ETH,2022-11-02,2157000.0,55494.97503566,122484620348.4188,2215000.0,2285000.0,2136000.0
KRW-BTC,2022-11-03,28693000.0,6757.69291375,194086875436.71292,28632000.0,28900000.0,28443000.0
KRW-ETH,2022-11-03,2176000.0,25689.20587408,56130564664.83186,2157000.0,2207000.0,2156000.0
KRW-BTC,2022-11-04,29388000.0,7964.11785191,231718138685.04376,28685000.0,29679000.0,28683000.0
KRW-ETH,2022-11-04,2288000.0,58125.28789819,131111476196.01773,2175000.0,2330000.0,2173000.0
KRW-BTC,2022-11-05,29756000.0,5550.07970205,164967206076.35477,29388000.0,29870000.0,29304000.0
KRW-ETH,2022-11-05,2276000.0,25680.01447063,58829616868.64788,2286000.0,2319000.0,2267000.0
KRW-ETH,2022-11-06,2213000.0,19443.52880578,43871761578.052,2276000.0,2291000.0,2207000.0
KRW-BTC,2022-11-06,29473000.0,3135.46538779,93055406232.24623,29756000.0,29869000.0,29400000.0
KRW-BTC,2022-11-07,28945000.0,5212.34471889,152159017524.60736,29470000.0,29658000.0,28790000.0
KRW-ETH,2022-11-07,2209000.0,32548.57903294,72068914556.4595,2210000.0,2250000.0,2182000.0
KRW-BTC,2022-11-08,26650000.0,21680.49236147,594772236555.9027,28945000.0,29020000.0,25842000.0
KRW-ETH,2022-11-08,1917000.0,162725.49897791,329776704435.08777,2206000.0,2216000.0,1860000.0
KRW-BTC,2022-11-09,22919000.0,22296.85265068,552715932088.8374,26652000.0,26832000.0,22564000.0
KRW-ETH,2022-11-09,1588500.0,258495.89406217,447396296688.31714,1917000.0,1930000.0,1548500.0
KRW-ETH,2022-11-10,1830000.0,208222.15128443,361629546486.5822,1589500.0,1874500.0,1573500.0
KRW-BTC,2022-11-10,24779000.0,20710.2527776,498017206404.5683,22924000.0,25120000.0,22840000.0
KRW-BTC,2022-11-11,23656000.0,12736.12608371,303749422827.73645,24773000.0,24928000.0,23000000.0
KRW-ETH,2022-11-11,1788500.0,130043.0206583,228754736545.57074,1832000.0,1854000.0,1675000.0
KRW-BTC,2022-11-12,23380000.0,4753.99237337,111007195542.84412,23657000.0,23755000.0,23061000.0
KRW-ETH,2022-11-12,1748500.0,58148.92357943,101921770429.89806,1788000.0,1794500.0,1714500.0
KRW-BTC,2022-11-13,22510000.0,7169.9512786,164599384311.13092,23380000.0,23515000.0,22500000.0
KRW-ETH,2022-11-13,1684000.0,64133.016662,109712196174.88977,1748500.0,1765000.0,1671500.0
KRW-BTC,2022-11-14,22701000.0,13460.02192864,301879477005.36584,22511000.0,23438000.0,21509000.0
KRW-ETH,2022-11-14,1695500.0,129820.89771468,217686342235.90118,1684500.0,1763500.0,1583000.0
KRW-ETH,2022-11-15,1708500.0,59212.91692913,101645852077.50876,1695500.0,1751000.0,1682000.0
KRW-BTC,2022-11-15,23003000.0,6064.33492986,139067228426.62408,22706000.0,23220000.0,22530000.0
KRW-BTC,2022-11-16,22954000.0,4821.31903186,110303866991.65161,23003000.0,23162000.0,22550000.0
KRW-ETH,2022-11-16,1678000.0,53914.82626128,90731073957.30714,1707000.0,1725500.0,1640000.0
KRW-ETH,2022-11-17,1654500.0,38325.42284165,63485671763.97253,1675500.0,1687500.0,1630000.0
KRW-BTC,2022-11-17,22982000.0,3192.69376433,72904673241.5205,22954000.0,23039000.0,22613000.0
KRW-BTC,2022-11-18,23061000.0,3545.61958418,81843191220.82385,22982000.0,23330000.0,22900000.0
KRW-ETH,2022-11-18,1674000.0,31570.66432163,52769972239.42025,1654000.0,1690000.0,1653500.0
KRW-BTC,2022-11-19,23081000.0,2254.61082489,51938225975.36801,23062000.0,23197000.0,22928000.0
KRW-ETH,2022-11-19,1683500.0,19004.32067435,31863911388.307724,1674000.0,1700000.0,1662500.0
KRW-BTC,2022-11-20,22788000.0,4008.06831163,92051907651.90707,23082000.0,23128000.0,22651000.0
KRW-ETH,2022-11-20,1600500.0,44970.21827324,73610745919.7523,1683500.0,1691500.0,1586500.0
KRW-BTC,2022-11-21,22220000.0,5410.35456693,121611325051.6873,22763000.0,22810000.0,22000000.0
KRW-ETH,2022-11-21,1560000.0,58130.11222646,91361933631.43307,1601500.0,1604500.0,1530500.0
KRW-BTC,2022-11-22,22584000.0,4830.10682581,107901365116.02403,22220000.0,22719000.0,22031000.0
KRW-ETH,2022-11-22,1586000.0,63393.44471679,98663890597.92409,1560000.0,1593000.0,1516500.0
KRW-BTC,2022-11-23,22985000.0,4524.89351291,103606008888.91022,22599000.0,23121000.0,22525000.0
KRW-ETH,2022-11-23,1639000.0,49509.39394667,79953156319.35641,1585500.0,1644500.0,1575000.0
KRW-BTC,2022-11-24,22738000.0,4151.70054394,94860806308.04427,22985000.0,23220000.0,22566000.0
KRW-ETH,2022-11-24,1648000.0,40350.7194246,66491136682.28195,1639500.0,1673500.0,1625500.0
KRW-ETH,2022-11-25,1645000.0,27212.06336001,44321847536.07245,1647500.0,1651500.0,1602000.0
KRW-BTC,2022-11-25,22676000.0,3000.13344954,67806317145.13777,22735000.0,22794000.0,22370000.0
KRW-ETH,2022-11-26,1659000.0,23198.99568381,38710686522.29617,1645000.0,1689500.0,1643500.0
KRW-BTC,2022-11-26,22660000.0,2148.77580606,48865893597.60411,22677000.0,22862000.0,22605000.0
KRW-BTC,2022-11-27,22646000.0,1989.05113784,45175559593.41976,22646000.0,22774000.0,22605000.0
KRW-ETH,2022-11-27,1648000.0,15501.31519788,25819490964.31697,1659000.0,1678500.0,1641000.0
KRW-ETH,2022-11-28,1609000.0,28742.94119608,46536773961.65374,1645500.0,1651000.0,1600000.0
KRW-BTC,2022-11-28,22339000.0,3579.0905705,80214477852.49315,22661000.0,22690000.0,22217000.0
KRW-ETH,2022-11-29,1657000.0,33161.62513414,54527166386.91002,1609500.0,1672000.0,1595000.0
KRW-BTC,2022-11-29,22417000.0,2523.90821039,56647764932.03546,22329000.0,22617000.0,22155000.0
KRW-BTC,2022-11-30,23192000.0,4690.57520524,107572115829.88625,22417000.0,23293000.0,22415000.0
KRW-ETH,2022-11-30,1752500.0,50982.60763895,87964238429.10722,1657000.0,1766500.0,1655000.0
KRW-BTC,2022-12-01,23002000.0,3278.51519679,75761071316.25665,23209000.0,23400000.0,22871000.0
KRW-ETH,2022-12-01,1729000.0,29415.60567537,50990524695.3476,1752500.0,1754500.0,1710000.0
KRW-BTC,2022-12-02,22877000.0,2707.54917012,61755977181.29832,23008000.0,23046000.0,22650000.0
KRW-ETH,2022-12-02,1735500.0,25238.85332789,43415970311.50549,1729000.0,1742500.0,1701000.0
KRW-ETH,2022-12-03,1679000.0,18346.12178334,31304937757.0601,1735500.0,1747000.0,1675000.0
KRW-BTC,2022-12-03,22830000.0,1361.73087278,31071194370.80245,22877000.0,22973000.0,22752000.0
KRW-ETH,2022-12-04,1713500.0,19206.2947805,32586603965.32487,1679000.0,1722500.0,1677500.0
KRW-BTC,2022-12-04,22906000.0,1690.07399271,38661404072.01502,22821000.0,23021000.0,22755000.0
KRW-ETH,2022-12-05,1688000.0,27626.89059598,47360280335.58779,1712500.0,1736000.0,1678000.0
KRW-BTC,2022-12-05,22725000.0,3649.93086302,83776335468.46335,22918000.0,23150000.0,22685000.0
KRW-ETH,2022-12-06,1699000.0,18723.2152135,31593946211.3745,1688000.0,1702500.0,1668500.0
KRW-BTC,2022-12-06,22821000.0,2826.97261012,64445480751.08888,22729000.0,22885000.0,22701000.0
KRW-ETH,2022-12-07,1651000.0,26828.18280443,44482878652.72713,1699000.0,1706000.0,1634500.0
KRW-BTC,2022-12-07,22544000.0,3381.14787642,76371819695.76631,22837000.0,22898000.0,22400000.0
KRW-BTC,2022-12-08,22918000.0,2658.30122236,60238648327.07826,22544000.0,23000000.0,22484000.0
KRW-ETH,2022-12-08,1703500.0,23448.70305849,39232909463.18479,1651000.0,1720000.0,1640000.0
KRW-ETH,2022-12-09,1685000.0,23495.11937177,39931357248.88188,1703500.0,1722500.0,1680000.0
KRW-BTC,2022-12-09,22849000.0,2349.72627368,53715032551.87096,22918000.0,23000000.0,22770000.0
KRW-BTC,2022-12-10,22831000.0,1339.76576612,30646589950.31205,22845000.0,22940000.0,22820000.0
KRW-ETH,2022-12-10,1687500.0,12815.65008258,21653241308.79677,1685000.0,1707500.0,1681500.0
KRW-BTC,2022-12-11,22775000.0,1591.84902453,36350568859.08237,22824000.0,22915000.0,22760000.0
KRW-ETH,2022-12-11,1683500.0,9875.75455867,16696965742.829475,1687500.0,1704000.0,1675500.0
KRW-BTC,2022-12-12,22824000.0,2436.29764131,55084524506.98965,22784000.0,22882000.0,22487000.0
KRW-ETH,2022-12-12,1694500.0,20297.26232075,33864499981.31113,1682000.0,1696500.0,1652500.0
KRW-BTC,2022-12-13,23161000.0,5226.52781477,120675670374.52821,22824000.0,23600000.0,22570000.0
KRW-ETH,2022-12-13,1721500.0,57381.66818205,98411218714.33356,1693000.0,1762500.0,1658000.0
KRW-BTC,2022-12-14,23235000.0,4041.5227297,94660482356.09254,23157000.0,23941000.0,23147000.0
KRW-ETH,2022-12-14,1707500.0,32061.15570552,55504527146.04187,1721500.0,1761000.0,1706500.0
KRW-BTC,2022-12-15,22942000.0,2875.73302095,66575698319.03985,23255000.0,23382000.0,22877000.0
KRW-ETH,2022-12-15,1674000.0,26876.15691993,45363986179.79208,1708000.0,1717000.0,1666500.0
KRW-ETH,2022-12-16,1563500.0,57734.68015563,92914823876.8965,1674000.0,1682500.0,1547500.0
KRW-BTC,2022-12-16,22249000.0,4660.97070297,105208954880.86823,22952000.0,23050000.0,22125000.0
KRW-BTC,2022-12-17,22230000.0,2908.95281168,64427612392.71,22249000.0,22367000.0,22000000.0
KRW-ETH,2022-12-17,1575000.0,26096.69784848,40717283078.90595,1563000.0,1575500.0,1538500.0
